รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ
23157687933,Orsen by Eloop EW55  EW54 E43 E59  พาวเวอร์แบงค์  ชาร์จไร้สาย PD 20W ของแท้100% รับประกัน 1 ปี,754,20พัน+,Eloop&Orsen,9%,฿67.86,https://shopee.co.th/product/1090527652/23157687933,https://s.shopee.co.th/2qUQnqRbm8
24724645710,TOPSUN เก้าอี้แคมป์ปิ้ง เก้าอี้สนาม 65cm พร้อมกระเป๋าจัดเก็บ ท่ออลูมิเนียมหนา,160,10พัน+,Janet melody,9%,฿14.40,https://shopee.co.th/product/239775228/24724645710,https://s.shopee.co.th/2gB0bXSF77
43304958355,"TYESO 01-01022/23/24/25/26 600ML/750MTumbler พร้อมที่จับ,ขวดน้ําฉนวนสุญญากาศพร้อมฝาปิด 2-in-1 และฟาง,ถ้วยกาแฟสแตนเลสผนังคู่แก้วเดินทางป้องกันการรั่วพลิก",339,30พัน+,Tyeso Official Store,12%,฿40.68,https://shopee.co.th/product/1096039665/43304958355,https://s.shopee.co.th/3B7HCSQL6E
54962722628,ADIDAS เสื้อแข่งผู้ชายทีมลิเวอร์พูล ชุดเหย้า ฤดูกาล 2026/27,2.9พัน,178,Supersports,8%,฿232.00,https://shopee.co.th/product/295338991/54962722628,https://s.shopee.co.th/30nr09QyRD
44473012282,ELRRO EW55 Magnetic 20000mAh แบตเตอรี่สำรอง PD 20W | QC 3.0 wireless power bank แม่เหล็ก QI Wireless Charge 15W แบตสำรอง,589,7พัน+,ELRRO Shop ,11%,฿64.79,https://shopee.co.th/product/1192329957/44473012282,https://s.shopee.co.th/4qFVBWJzia
55760215947,40-100นิ้ว ขาตั้งทีวีล้อเลื่อน ที่วางทีวีปรับระดับขาได้ ที่ตั้งทีวีเคลื่อนที่  โครงเหล็กแข็งแรง ล้อพร้อมเบรค,1.0พัน,12,LiftQ,11%,฿113.19,https://shopee.co.th/product/1224849219/55760215947,https://s.shopee.co.th/4fw4zDKd3Z
44318056223,(พร้อมส่งในไทย🔥) ADIDAS ADIZERO EVO SL รองเท้าวิ่ง รองเท้ากีฬา รับประกันของแท้!! ส่งของไวมาก🌪️ อ่านรายละเอียดก่อนสั่ง‼️,5.8พัน,10พัน+,SNEAKERHEAD.TH,7%,฿402.71,https://shopee.co.th/product/157020077/44318056223,https://s.shopee.co.th/5AsLa8Ij2g
29379632922,โคมไฟข้างเตียง แสดงเวลา มันสว่างเมื่อคุณสัมผัส โคมไฟตั้งแคมป์ แบตเตอรี่ใช้งานได้นาน 8 ชั่วโมง,135,20พัน+,Homesweet_Thailand,12%,฿16.20,https://shopee.co.th/product/1494631021/29379632922,https://s.shopee.co.th/50YvNpJMNf
43154837717,"[มัลติฟังก์ชั่น 7 ปุ่ม]MODOFO ขาตั้งกล้อง 1.8mไม้เซลฟี่บลูทูธไร้สาย หมุนได้360องศา ยืดหดได้ สำหรับ GoPro,Huawei,Samsung",269,4พัน+,MODOFO Mall Thailand,12%,฿32.28,https://shopee.co.th/product/1207841247/43154837717,https://s.shopee.co.th/4AzoOIMX4W
24302173143,Sougayilang ชุดคันเบ็ดตกปลา คาร์บอนไฟเบอร์ 1.8 ม.-3.3 ม. พร้อมรอกตกปลา อัตราทดเกียร์ 1000-5000 Series 5.0:1 8 กก.,460,845,sougayilanglocal2.th,11%,฿50.60,https://shopee.co.th/product/1112824015/24302173143,https://s.shopee.co.th/40gOBzNAPV
5378047171,"VENTO ขาแขวนทีวี ตั้งพื้น 40 - 75นิ้ว ขาตั้งทีวี สูง180cm WMB4075 Black LCD,LED,Plasma ล้อเลื่อน",698,4พัน+,VENTO Furniture,8%,฿55.84,https://shopee.co.th/product/320590286/5378047171,https://s.shopee.co.th/4VcemuLGOc
13314707208,27นิ้ว จอมอนิเตอร์ จอคอม 165HZ หน้าจอโค้ง จอเกมมิ่ง 4K LED Gaming monitor จอมอนิเตอร์เกมมิ่ง จอมอนิเตอ สปอตสินค้า,1.2พัน,10พัน+,UQREEN Mall,9%,฿107.91,https://shopee.co.th/product/453316153/13314707208,https://s.shopee.co.th/4LJEabLtjb
24646028508,GOOJODOQ Gfs007 พัดลมพกพา 4000mah Type C พร้อมจอแสดงผล พัดลมไอเย็น 100 ระดับ พัดลมมือถือ,299,10พัน+,GOOJODOQ Mall,12%,฿35.88,https://shopee.co.th/product/1505570169/24646028508,https://s.shopee.co.th/qjMQAZDpw
47110226474,Homey มุ้งกันยุง 4-10 ฟุต มุ้งห้องนอนส่วนตัว ม่าน4ด้าน สามประตู มีซิป พับได้ กันแมลง,459,5พัน+,Homey-th,11%,฿50.49,https://shopee.co.th/product/1821147469/47110226474,https://s.shopee.co.th/gPwDrZrAv
42357137216,ขาตั้งทีวีเคลื่อนที่ได้ ขายึดทีวี เหมาะสำหรับ 32-85นิ้ว แบรนด์ทั่วไป รองรับทีวีได้ 150KG,930,5พัน+,LiftQ,12.5%,฿116.25,https://shopee.co.th/product/1224849219/42357137216,https://s.shopee.co.th/1BMComXxA2
25412364351,OSUKA บล็อกกระแทกไร้สาย 20Vรุ่น OSID-520|OSID-LT520|OSID831-M1|OSID832-P1|OSID830-M1 (รุ่นประหยัด),2.0พัน,1พัน+,จัมโบ้เอ เครื่องมือช่าง,7%,฿139.30,https://shopee.co.th/product/94475391/25412364351,https://s.shopee.co.th/112mcTYaV1
41370234765,GOOJODOQ GFS017 Mini พัดลมพกพา แรงลมมากกว่าพัดลมทั่วไป 10 เท่า ปรับความเร็วได้ 100 ระดับ,299,30พัน+,GOOJODOQ Store,10%,฿29.90,https://shopee.co.th/product/492970814/41370234765,https://s.shopee.co.th/BTfcwblBs
54705190684,1000แผ่น หนา4ชั้น แบบดึง แขวนผนังได้ 【1ลัง5หิ้ว】กระดาษทิชชู่แบบดึงแขวนผนัง เช็ดหน้า ซึบซับน้ำ เหนียวนุ่ม 2220,120,5พัน+,TissueKingdom,12%,฿14.40,https://shopee.co.th/product/1163703131/54705190684,https://s.shopee.co.th/1AFQdcOWr
52760005223,ขาแขวนทีวีติดผนัง ขนาด 32-90 นิ้ว ปรับก้มเงย ได้ ±15° ขาตั้งทีวีปรับระดับได้ ติดตั้งง่ายมั่นคง,329,17,Youke.shop,9%,฿29.61,https://shopee.co.th/product/398906584/52760005223,https://s.shopee.co.th/W6W1YaUVy
45212976890,เสื้อฟุตบoa 2026/27 [เกรดแฟนบอล] lชaซี Home เหย้า เสื้อเปล่า หรือ พร้อมเบอร์ชื่อ (ไม่มีสปอนเซอ อก),337,723,FirstTouch Store,9%,฿30.33,https://shopee.co.th/product/29203050/45212976890,https://s.shopee.co.th/Ln5pFb7qx
13990639539,[ส่งไว] Orsen by Eloop EW35 EW40 CCC / EW54 EW55 E43 E53 E59 แบตสำรอง 10000-25000mAh ชาร์จเร็ว 20W/45W ไร้สาย มอก.,729,100พัน+,Orsen & Eloop Thailand,9%,฿65.61,https://shopee.co.th/product/28426506/13990639539,https://s.shopee.co.th/2BEk0cU98K
41271720568,📺ชดเชยถ้าหลุด📺ขาแขวนทีวี ขาตั้งทีวี 26-80นิ้ว 6แขนรับน้ำหนัก ปรับได้หลายมุม ติดตั้งง่าย ขาแขวนทีวีติดผนัง TV Stand,429,6พัน+,Galactic Goods,8%,฿34.32,https://shopee.co.th/product/1615054787/41271720568,https://s.shopee.co.th/20vJoJUmTJ
42663804456,[พร้อมส่ง] พัดลม JisuLife Life7 พัดลมมือถือ พัดลมพกพา พัดลมคล้องคอ พับได้ แบตอึด ลมแรง เงียบ รับประกันศูนย์ไทย 1 ปี,539,4พัน+,Jisulife by RTB,7%,฿37.73,https://shopee.co.th/product/1572178552/42663804456,https://s.shopee.co.th/2VraPESsSQ
